Date;Weekday;Start work;Leave work;Total time
2013-12-25;None;14:40;14:40;None
2013-12-25;None;14:48;15:47;0:59
2013-12-25;None;15:47;16:09;0:22
2013-12-25;Wednesday;16:09;16:10;0:01
2013-12-25;Wednesday;16:16;16:16;0:00
2013-12-25;Wednesday;17:18;17:18;0:00
2013-12-25;Wednesday;17:29;17:29;0:00
2013-12-25;Wednesday;17:56;17:56;0:00
2013-12-25;Wednesday;18:02;18:02;0:00
2013-12-25;Wednesday;18:08;None;None
2013-12-25;Wednesday;18:16;None;None
2013-12-25;Wednesday;18:16;None;None
2013-12-25;Wednesday;18:22;18:22;0:00
2013-12-25;Wednesday;18:40;None;None
2013-12-25;Wednesday;18:40;18:40;0:00
2013-12-25;Wednesday;18:41;18:41;0:00
2013-12-25;Wednesday;18:42;18:42;0:00
2013-12-25;Wednesday;18:46;18:46;0:00
2013-12-25;Wednesday;18:51;18:51;0:00
2013-12-25;Wednesday;18:56;18:56;0:00
2013-12-25;Wednesday;18:57;18:57;0:00
2013-12-25;Wednesday;19:17;19:23;0:06
2013-12-25;Wednesday;19:23;19:24;0:01
2013-12-25;Wednesday;19:24;19:25;0:01
2013-12-25;Wednesday;19:57;19:57;0:00
2013-12-25;Wednesday;20:19;20:19;0:00
2013-12-25;Wednesday;20:20;20:22;0:02
2013-12-25;Wednesday;20:22;20:22;0:00
2013-12-25;Wednesday;20:24;20:24;0:00
2014-01-04;Saturday;19:58;19:58;0:00
